73,560
79,82.4140625,82.561789625
77,82.641335,82.789062125
76,82.8686075,83.016334625
74,83.09588,83.243607125
80,83.32315249999999,83.470879625
82,83.550425,83.698152125
84,83.7776975,83.925424625
84,84.00497,84.152697125
82,84.2322425,84.379969625
80,84.459515,84.607242125
80,84.6867875,84.834514625
79,84.91406,85.061787125
77,85.1413325,85.289059625
79,85.368605,85.51633212499999
77,85.5958775,85.743604625
76,85.82315,85.970877125
85,86.0504225,86.198149625
84,86.277695,86.425422125
82,86.50496749999999,86.652694625
80,86.73223999999999,86.87996712500001
79,86.9595125,87.107239625
77,87.186785,87.334512125
84,87.4140575,87.561784625
82,87.64133,87.789057125
80,87.8686025,88.016329625
79,88.095875,88.243602125
77,88.3231475,88.470874625
76,88.55042,88.69814712499999
77,88.7776925,88.925419625
76,89.004965,89.152692125
74,89.2322375,89.379964625
73,89.45951,89.607237125
72,89.68678249999999,89.834509625
73,89.91405499999999,90.06178212500001
74,90.1413275,90.289054625
75,90.3686,90.516327125
76,90.5958725,90.743599625
77,90.823145,91.49085333333333
65,91.573145,91.720872125
67,91.8004175,91.948144625
68,92.02768999999999,92.175417125
67,92.25496249999999,92.402689625
68,92.482235,92.62996212499999
70,92.7095075,92.85723462499999
68,92.93678,93.084507125
70,93.1640525,93.311779625
72,93.391325,93.539052125
70,93.61859749999999,93.766324625
72,93.84586999999999,93.993597125
73,94.0731425,94.22086962499999
72,94.300415,94.448142125
74,94.5276875,94.675414625
76,94.75496,94.902687125
74,94.9822325,95.129959625
76,95.209505,95.357232125
77,95.43677749999999,95.584504625
76,95.66405,95.81177712499999
77,95.8913225,96.03904962499999
79,96.118595,96.266322125
80,96.3458675,96.493594625
79,96.57314,96.720867125
77,96.8004125,96.948139625
65,97.02768499999999,97.175412125
67,97.2549575,97.40268462499999
68,97.48223,97.629957125
67,97.7095025,97.857229625
68,97.936775,98.084502125
70,98.1640475,98.311774625
68,98.39132,98.539047125
70,98.61859249999999,98.766319625
72,98.845865,98.99359212499999
70,99.0731375,99.22086462499999
72,99.30041,99.448137125
73,99.5276825,99.675409625
72,99.754955,99.902682125
74,99.9822275,100.129954625
76,100.20949999999999,100.357227125
74,100.43677249999999,100.58449962499999
76,100.664045,100.811772125
77,100.8913175,101.039044625
76,101.11859,101.266317125
77,101.3458625,101.493589625
79,101.573135,101.720862125
80,101.80040749999999,101.948134625
79,102.02768,102.17540712499999
77,102.2549525,102.40267962499999
80,102.482225,102.629952125
82,102.7094975,102.857224625
84,102.93677,103.084497125
72,103.1640425,103.311769625
70,103.39131499999999,103.539042125
68,103.61858749999999,103.76631462499999
68,103.84586,103.99358712499999
67,104.0731325,104.220859625
65,104.300405,104.448132125
82,104.5276775,104.675404625
80,104.75495,104.902677125
79,104.98222249999999,105.129949625
82,105.209495,105.35722212499999
84,105.4367675,105.58449462499999
85,105.66404,105.811767125
73,105.8913125,106.039039625
72,106.118585,106.266312125
70,106.3458575,106.493584625
70,106.57312999999999,106.720857125
68,106.80040249999999,106.94812962499999
67,107.027675,107.17540212499999
77,107.2549475,107.402674625
76,107.48222,107.629947125
74,107.7094925,107.857219625
77,107.936765,108.084492125
79,108.16403749999999,108.311764625
80,108.39131,108.539037125
80,108.6185825,108.76630962499999
79,108.845855,108.99358212499999
77,109.0731275,109.220854625
77,109.3004,109.448127125
76,109.5276725,109.675399625
74,109.75494499999999,109.902672125
76,109.98221749999999,110.129944625
74,110.20948999999999,110.357217125
72,110.4367625,110.584489625
76,110.664035,110.811762125
79,110.8913075,111.039034625
84,111.11858,111.266307125
83,111.34585249999999,111.493579625
82,111.573125,111.720852125
81,111.8003975,111.94812462499999
80,112.02767,112.17539712499999
79,112.2549425,112.402669625
78,112.482215,112.629942125
77,112.7094875,113.37719583333333
65,113.4594875,113.607214625
67,113.68675999999999,113.834487125
68,113.91403249999999,114.061759625
67,114.14130499999999,114.28903212499999
68,114.3685775,114.51630462499999
70,114.59585,114.743577125
68,114.8231225,114.970849625
70,115.050395,115.198122125
72,115.27766749999999,115.425394625
70,115.50493999999999,115.652667125
72,115.73221249999999,115.87993962499999
73,115.959485,116.10721212499999
72,116.1867575,116.33448462499999
74,116.41403,116.561757125
76,116.6413025,116.789029625
74,116.86857499999999,117.016302125
76,117.09584749999999,117.243574625
77,117.32311999999999,117.47084712499999
76,117.5503925,117.69811962499999
77,117.777665,117.925392125
79,118.0049375,118.152664625
80,118.23221,118.379937125
79,118.4594825,118.607209625
77,118.68675499999999,118.834482125
65,118.91402749999999,119.06175462499999
67,119.1413,119.28902712499999
68,119.3685725,119.51629962499999
67,119.595845,119.743572125
